"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2005",0.11,"SPI DJ","SPI 2","Changara","07","Severo"
"2006",0.27,"SPI DJ","SPI 2","Changara","07","Severo"
"2007",0.08,"SPI DJ","SPI 2","Changara","07","Severo"
"2008",0.07,"SPI DJ","SPI 2","Changara","07","Severo"
"2009",0.12,"SPI DJ","SPI 2","Changara","07","Severo"
"2010",0,"SPI DJ","SPI 2","Changara","07","Severo"
"2011",0.26,"SPI DJ","SPI 2","Changara","07","Severo"
"2012",0.24,"SPI DJ","SPI 2","Changara","07","Severo"
"2013",0.11,"SPI DJ","SPI 2","Changara","07","Severo"
"2014",0.1,"SPI DJ","SPI 2","Changara","07","Severo"
"2015",0.28,"SPI DJ","SPI 2","Changara","07","Severo"
"2016",0.16,"SPI DJ","SPI 2","Changara","07","Severo"
"2017",0.09,"SPI DJ","SPI 2","Changara","07","Severo"
"2018",0.19,"SPI DJ","SPI 2","Changara","07","Severo"
"2019",0.09,"SPI DJ","SPI 2","Changara","07","Severo"
"2020",0.16,"SPI DJ","SPI 2","Changara","07","Severo"
"2021",0.18,"SPI DJ","SPI 2","Changara","07","Severo"
"1993",0.16,"SPI DJ","SPI 2","Marara","07","Severo"
"1994",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"1995",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"1996",0.13,"SPI DJ","SPI 2","Marara","07","Severo"
"1997",0.36,"SPI DJ","SPI 2","Marara","07","Severo"
"1998",0,"SPI DJ","SPI 2","Marara","07","Severo"
"1999",0.16,"SPI DJ","SPI 2","Marara","07","Severo"
"2000",0.16,"SPI DJ","SPI 2","Marara","07","Severo"
"2001",0.16,"SPI DJ","SPI 2","Marara","07","Severo"
"2002",0.19,"SPI DJ","SPI 2","Marara","07","Severo"
"2003",0.21,"SPI DJ","SPI 2","Marara","07","Severo"
"2004",0.13,"SPI DJ","SPI 2","Marara","07","Severo"
"2005",0.11,"SPI DJ","SPI 2","Marara","07","Severo"
"2006",0.24,"SPI DJ","SPI 2","Marara","07","Severo"
"2007",0.08,"SPI DJ","SPI 2","Marara","07","Severo"
"2008",0.08,"SPI DJ","SPI 2","Marara","07","Severo"
"2009",0.16,"SPI DJ","SPI 2","Marara","07","Severo"
"2010",0.01,"SPI DJ","SPI 2","Marara","07","Severo"
"2011",0.21,"SPI DJ","SPI 2","Marara","07","Severo"
"2012",0.24,"SPI DJ","SPI 2","Marara","07","Severo"
"2013",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"2014",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"2015",0.31,"SPI DJ","SPI 2","Marara","07","Severo"
"2016",0.13,"SPI DJ","SPI 2","Marara","07","Severo"
"2017",0.13,"SPI DJ","SPI 2","Marara","07","Severo"
"2018",0.2,"SPI DJ","SPI 2","Marara","07","Severo"
"2019",0.04,"SPI DJ","SPI 2","Marara","07","Severo"
"2020",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"2021",0.12,"SPI DJ","SPI 2","Marara","07","Severo"
"1993",0.24,"SPI ND","SPI 2","Chibuto","07","Severo"
"1994",0.18,"SPI ND","SPI 2","Chibuto","07","Severo"
"1995",0.12,"SPI ND","SPI 2","Chibuto","07","Severo"
"1996",0.18,"SPI ND","SPI 2","Chibuto","07","Severo"
"1997",0.2,"SPI ND","SPI 2","Chibuto","07","Severo"
"1998",0.16,"SPI ND","SPI 2","Chibuto","07","Severo"
"1999",0.06,"SPI ND","SPI 2","Chibuto","07","Severo"
"2000",0.08,"SPI ND","SPI 2","Chibuto","07","Severo"
"2001",0.28,"SPI ND","SPI 2","Chibuto","07","Severo"
"2002",0.14,"SPI ND","SPI 2","Chibuto","07","Severo"
"2003",0.13,"SPI ND","SPI 2","Chibuto","07","Severo"
"2004",0.11,"SPI ND","SPI 2","Chibuto","07","Severo"
"2005",0.04,"SPI ND","SPI 2","Chibuto","07","Severo"
"2006",0.12,"SPI ND","SPI 2","Chibuto","07","Severo"
"2007",0.28,"SPI ND","SPI 2","Chibuto","07","Severo"
"2008",0.14,"SPI ND","SPI 2","Chibuto","07","Severo"
"2009",0.18,"SPI ND","SPI 2","Chibuto","07","Severo"
"2010",0.12,"SPI ND","SPI 2","Chibuto","07","Severo"
"2011",0.04,"SPI ND","SPI 2","Chibuto","07","Severo"
"2012",0.26,"SPI ND","SPI 2","Chibuto","07","Severo"
"2013",0.07,"SPI ND","SPI 2","Chibuto","07","Severo"
"2014",0.12,"SPI ND","SPI 2","Chibuto","07","Severo"
"2015",0.24,"SPI ND","SPI 2","Chibuto","07","Severo"
"2016",0.17,"SPI ND","SPI 2","Chibuto","07","Severo"
"2017",0.17,"SPI ND","SPI 2","Chibuto","07","Severo"
"2018",0.22,"SPI ND","SPI 2","Chibuto","07","Severo"
"2019",0.36,"SPI ND","SPI 2","Chibuto","07","Severo"
"2020",0.11,"SPI ND","SPI 2","Chibuto","07","Severo"
"2021",0.22,"SPI ND","SPI 2","Chibuto","07","Severo"
"1993",0.22,"SPI ND","SPI 2","Guija","07","Severo"
"1994",0.21,"SPI ND","SPI 2","Guija","07","Severo"
"1995",0.09,"SPI ND","SPI 2","Guija","07","Severo"
"1996",0.18,"SPI ND","SPI 2","Guija","07","Severo"
"1997",0.2,"SPI ND","SPI 2","Guija","07","Severo"
"1998",0.13,"SPI ND","SPI 2","Guija","07","Severo"
"1999",0.06,"SPI ND","SPI 2","Guija","07","Severo"
"2000",0.08,"SPI ND","SPI 2","Guija","07","Severo"
"2001",0.26,"SPI ND","SPI 2","Guija","07","Severo"
"2002",0.1,"SPI ND","SPI 2","Guija","07","Severo"
"2003",0.09,"SPI ND","SPI 2","Guija","07","Severo"
"2004",0.08,"SPI ND","SPI 2","Guija","07","Severo"
"2005",0.05,"SPI ND","SPI 2","Guija","07","Severo"
"2006",0.14,"SPI ND","SPI 2","Guija","07","Severo"
"2007",0.31,"SPI ND","SPI 2","Guija","07","Severo"
"2008",0.1,"SPI ND","SPI 2","Guija","07","Severo"
"2009",0.21,"SPI ND","SPI 2","Guija","07","Severo"
"2010",0.09,"SPI ND","SPI 2","Guija","07","Severo"
"2011",0,"SPI ND","SPI 2","Guija","07","Severo"
"2012",0.26,"SPI ND","SPI 2","Guija","07","Severo"
"2013",0.06,"SPI ND","SPI 2","Guija","07","Severo"
"2014",0.14,"SPI ND","SPI 2","Guija","07","Severo"
"2015",0.22,"SPI ND","SPI 2","Guija","07","Severo"
"2016",0.19,"SPI ND","SPI 2","Guija","07","Severo"
"2017",0.2,"SPI ND","SPI 2","Guija","07","Severo"
"2018",0.24,"SPI ND","SPI 2","Guija","07","Severo"
"2019",0.32,"SPI ND","SPI 2","Guija","07","Severo"
"2020",0.14,"SPI ND","SPI 2","Guija","07","Severo"
"2021",0.2,"SPI ND","SPI 2","Guija","07","Severo"
"1993",0.14,"SPI ND","SPI 2","Changara","07","Severo"
"1994",0.12,"SPI ND","SPI 2","Changara","07","Severo"
"1995",0.24,"SPI ND","SPI 2","Changara","07","Severo"
"1996",0.19,"SPI ND","SPI 2","Changara","07","Severo"
"1997",0.22,"SPI ND","SPI 2","Changara","07","Severo"
"1998",0.17,"SPI ND","SPI 2","Changara","07","Severo"
"1999",0.08,"SPI ND","SPI 2","Changara","07","Severo"
"2000",0.11,"SPI ND","SPI 2","Changara","07","Severo"
"2001",0.27,"SPI ND","SPI 2","Changara","07","Severo"
"2002",0.14,"SPI ND","SPI 2","Changara","07","Severo"
"2003",0.19,"SPI ND","SPI 2","Changara","07","Severo"
"2004",0.06,"SPI ND","SPI 2","Changara","07","Severo"
"2005",0.12,"SPI ND","SPI 2","Changara","07","Severo"
"2006",0.2,"SPI ND","SPI 2","Changara","07","Severo"
"2007",0.08,"SPI ND","SPI 2","Changara","07","Severo"
"2008",0.15,"SPI ND","SPI 2","Changara","07","Severo"
"2009",0.17,"SPI ND","SPI 2","Changara","07","Severo"
"2010",0.12,"SPI ND","SPI 2","Changara","07","Severo"
"2011",0.15,"SPI ND","SPI 2","Changara","07","Severo"
"2012",0.23,"SPI ND","SPI 2","Changara","07","Severo"
"2013",0.1,"SPI ND","SPI 2","Changara","07","Severo"
"2014",0.17,"SPI ND","SPI 2","Changara","07","Severo"
"2015",0.21,"SPI ND","SPI 2","Changara","07","Severo"
"2016",0.15,"SPI ND","SPI 2","Changara","07","Severo"
"2017",0.14,"SPI ND","SPI 2","Changara","07","Severo"
"2018",0.11,"SPI ND","SPI 2","Changara","07","Severo"
"2019",0.07,"SPI ND","SPI 2","Changara","07","Severo"
"2020",0.17,"SPI ND","SPI 2","Changara","07","Severo"
"2021",0.14,"SPI ND","SPI 2","Changara","07","Severo"
"1993",0.15,"SPI ND","SPI 2","Marara","07","Severo"
"1994",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"1995",0.28,"SPI ND","SPI 2","Marara","07","Severo"
"1996",0.19,"SPI ND","SPI 2","Marara","07","Severo"
"1997",0.19,"SPI ND","SPI 2","Marara","07","Severo"
"1998",0.17,"SPI ND","SPI 2","Marara","07","Severo"
"1999",0.07,"SPI ND","SPI 2","Marara","07","Severo"
"2000",0.11,"SPI ND","SPI 2","Marara","07","Severo"
"2001",0.27,"SPI ND","SPI 2","Marara","07","Severo"
"2002",0.11,"SPI ND","SPI 2","Marara","07","Severo"
"2003",0.2,"SPI ND","SPI 2","Marara","07","Severo"
"2004",0.08,"SPI ND","SPI 2","Marara","07","Severo"
"2005",0.15,"SPI ND","SPI 2","Marara","07","Severo"
"2006",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2007",0.08,"SPI ND","SPI 2","Marara","07","Severo"
"2008",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2009",0.16,"SPI ND","SPI 2","Marara","07","Severo"
"2010",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2011",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2012",0.23,"SPI ND","SPI 2","Marara","07","Severo"
"2013",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2014",0.19,"SPI ND","SPI 2","Marara","07","Severo"
"2015",0.17,"SPI ND","SPI 2","Marara","07","Severo"
"2016",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2017",0.11,"SPI ND","SPI 2","Marara","07","Severo"
"2018",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"2019",0.09,"SPI ND","SPI 2","Marara","07","Severo"
"2020",0.19,"SPI ND","SPI 2","Marara","07","Severo"
"2021",0.12,"SPI ND","SPI 2","Marara","07","Severo"
"1993",0.28,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1994",0.12,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1995",0.11,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1996",0.22,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1997",0.27,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1998",0,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1999",0.09,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2000",0.07,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2001",0.26,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2002",0.17,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2003",0.18,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2004",0.06,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2005",0.06,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2006",0.07,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2007",0.2,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2008",0.15,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2009",0.18,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2010",0.03,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2011",0.09,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2012",0.3,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2013",0.04,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2014",0.1,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2015",0.3,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2016",0.25,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2017",0.16,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2018",0.25,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2019",0.17,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2020",0.12,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"2021",0.22,"SPI NDJ","SPI 3","Chibuto","07","Severo"
"1993",0.28,"SPI NDJ","SPI 3","Guija","07","Severo"
"1994",0.15,"SPI NDJ","SPI 3","Guija","07","Severo"
"1995",0.1,"SPI NDJ","SPI 3","Guija","07","Severo"
"1996",0.27,"SPI NDJ","SPI 3","Guija","07","Severo"
"1997",0.26,"SPI NDJ","SPI 3","Guija","07","Severo"
"1998",0,"SPI NDJ","SPI 3","Guija","07","Severo"
"1999",0.08,"SPI NDJ","SPI 3","Guija","07","Severo"
"2000",0.1,"SPI NDJ","SPI 3","Guija","07","Severo"
"2001",0.24,"SPI NDJ","SPI 3","Guija","07","Severo"
"2002",0.16,"SPI NDJ","SPI 3","Guija","07","Severo"
"2003",0.16,"SPI NDJ","SPI 3","Guija","07","Severo"
"2004",0.08,"SPI NDJ","SPI 3","Guija","07","Severo"
"2005",0.03,"SPI NDJ","SPI 3","Guija","07","Severo"
"2006",0.06,"SPI NDJ","SPI 3","Guija","07","Severo"
"2007",0.22,"SPI NDJ","SPI 3","Guija","07","Severo"
"2008",0.13,"SPI NDJ","SPI 3","Guija","07","Severo"
"2009",0.16,"SPI NDJ","SPI 3","Guija","07","Severo"
"2010",0.04,"SPI NDJ","SPI 3","Guija","07","Severo"
"2011",0.06,"SPI NDJ","SPI 3","Guija","07","Severo"
"2012",0.27,"SPI NDJ","SPI 3","Guija","07","Severo"
"2013",0.02,"SPI NDJ","SPI 3","Guija","07","Severo"
"2014",0.11,"SPI NDJ","SPI 3","Guija","07","Severo"
"2015",0.36,"SPI NDJ","SPI 3","Guija","07","Severo"
"2016",0.26,"SPI NDJ","SPI 3","Guija","07","Severo"
"2017",0.25,"SPI NDJ","SPI 3","Guija","07","Severo"
"2018",0.27,"SPI NDJ","SPI 3","Guija","07","Severo"
"2019",0.21,"SPI NDJ","SPI 3","Guija","07","Severo"
"2020",0.12,"SPI NDJ","SPI 3","Guija","07","Severo"
"2021",0.13,"SPI NDJ","SPI 3","Guija","07","Severo"
"1993",0.23,"SPI NDJ","SPI 3","Changara","07","Severo"
"1994",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"1995",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"1996",0.16,"SPI NDJ","SPI 3","Changara","07","Severo"
"1997",0.34,"SPI NDJ","SPI 3","Changara","07","Severo"
"1998",0,"SPI NDJ","SPI 3","Changara","07","Severo"
"1999",0.13,"SPI NDJ","SPI 3","Changara","07","Severo"
"2000",0.15,"SPI NDJ","SPI 3","Changara","07","Severo"
"2001",0.26,"SPI NDJ","SPI 3","Changara","07","Severo"
"2002",0.18,"SPI NDJ","SPI 3","Changara","07","Severo"
"2003",0.15,"SPI NDJ","SPI 3","Changara","07","Severo"
"2004",0.11,"SPI NDJ","SPI 3","Changara","07","Severo"
"2005",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"2006",0.26,"SPI NDJ","SPI 3","Changara","07","Severo"
"2007",0.08,"SPI NDJ","SPI 3","Changara","07","Severo"
"2008",0.09,"SPI NDJ","SPI 3","Changara","07","Severo"
"2009",0.09,"SPI NDJ","SPI 3","Changara","07","Severo"
"2010",0.04,"SPI NDJ","SPI 3","Changara","07","Severo"
"2011",0.23,"SPI NDJ","SPI 3","Changara","07","Severo"
"2012",0.27,"SPI NDJ","SPI 3","Changara","07","Severo"
"2013",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"2014",0.14,"SPI NDJ","SPI 3","Changara","07","Severo"
"2015",0.3,"SPI NDJ","SPI 3","Changara","07","Severo"
"2016",0.2,"SPI NDJ","SPI 3","Changara","07","Severo"
"2017",0.13,"SPI NDJ","SPI 3","Changara","07","Severo"
"2018",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"2019",0.02,"SPI NDJ","SPI 3","Changara","07","Severo"
"2020",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"2021",0.12,"SPI NDJ","SPI 3","Changara","07","Severo"
"1993",0.23,"SPI NDJ","SPI 3","Marara","07","Severo"
"1994",0.15,"SPI NDJ","SPI 3","Marara","07","Severo"
"1995",0.12,"SPI NDJ","SPI 3","Marara","07","Severo"
"1996",0.2,"SPI NDJ","SPI 3","Marara","07","Severo"
"1997",0.33,"SPI NDJ","SPI 3","Marara","07","Severo"
"1998",0.01,"SPI NDJ","SPI 3","Marara","07","Severo"
"1999",0.12,"SPI NDJ","SPI 3","Marara","07","Severo"
"2000",0.2,"SPI NDJ","SPI 3","Marara","07","Severo"
"2001",0.25,"SPI NDJ","SPI 3","Marara","07","Severo"
"2002",0.15,"SPI NDJ","SPI 3","Marara","07","Severo"
"2003",0.15,"SPI NDJ","SPI 3","Marara","07","Severo"
"2004",0.08,"SPI NDJ","SPI 3","Marara","07","Severo"
"2005",0.16,"SPI NDJ","SPI 3","Marara","07","Severo"
"2006",0.31,"SPI NDJ","SPI 3","Marara","07","Severo"
"2007",0.08,"SPI NDJ","SPI 3","Marara","07","Severo"
"2008",0.09,"SPI NDJ","SPI 3","Marara","07","Severo"
"2009",0.08,"SPI NDJ","SPI 3","Marara","07","Severo"
"2010",0.07,"SPI NDJ","SPI 3","Marara","07","Severo"
"2011",0.19,"SPI NDJ","SPI 3","Marara","07","Severo"
"2012",0.28,"SPI NDJ","SPI 3","Marara","07","Severo"
"2013",0.12,"SPI NDJ","SPI 3","Marara","07","Severo"
"2014",0.17,"SPI NDJ","SPI 3","Marara","07","Severo"
"2015",0.29,"SPI NDJ","SPI 3","Marara","07","Severo"
"2016",0.17,"SPI NDJ","SPI 3","Marara","07","Severo"
"2017",0.16,"SPI NDJ","SPI 3","Marara","07","Severo"
"2018",0.17,"SPI NDJ","SPI 3","Marara","07","Severo"
"2019",0,"SPI NDJ","SPI 3","Marara","07","Severo"
"2020",0.15,"SPI NDJ","SPI 3","Marara","07","Severo"
"2021",0.11,"SPI NDJ","SPI 3","Marara","07","Severo"
"1993",0.1,"SPI ON","SPI 2","Chibuto","07","Severo"
"1994",0.24,"SPI ON","SPI 2","Chibuto","07","Severo"
"1995",0.17,"SPI ON","SPI 2","Chibuto","07","Severo"
"1996",0.04,"SPI ON","SPI 2","Chibuto","07","Severo"
"1997",0.04,"SPI ON","SPI 2","Chibuto","07","Severo"
"1998",0.14,"SPI ON","SPI 2","Chibuto","07","Severo"
"1999",0.23,"SPI ON","SPI 2","Chibuto","07","Severo"
"2000",0.12,"SPI ON","SPI 2","Chibuto","07","Severo"
"2001",0.21,"SPI ON","SPI 2","Chibuto","07","Severo"
"2002",0.34,"SPI ON","SPI 2","Chibuto","07","Severo"
"2003",0.2,"SPI ON","SPI 2","Chibuto","07","Severo"
"2004",0.18,"SPI ON","SPI 2","Chibuto","07","Severo"
"2005",0.09,"SPI ON","SPI 2","Chibuto","07","Severo"
"2006",0.22,"SPI ON","SPI 2","Chibuto","07","Severo"
"2007",0.1,"SPI ON","SPI 2","Chibuto","07","Severo"
"2008",0.11,"SPI ON","SPI 2","Chibuto","07","Severo"
"2009",0.14,"SPI ON","SPI 2","Chibuto","07","Severo"
"2010",0.08,"SPI ON","SPI 2","Chibuto","07","Severo"
"2011",0.09,"SPI ON","SPI 2","Chibuto","07","Severo"
"2012",0.19,"SPI ON","SPI 2","Chibuto","07","Severo"
"2013",0.1,"SPI ON","SPI 2","Chibuto","07","Severo"
"2014",0.14,"SPI ON","SPI 2","Chibuto","07","Severo"
"2015",0.26,"SPI ON","SPI 2","Chibuto","07","Severo"
"2016",0.2,"SPI ON","SPI 2","Chibuto","07","Severo"
"2017",0.18,"SPI ON","SPI 2","Chibuto","07","Severo"
"2018",0.19,"SPI ON","SPI 2","Chibuto","07","Severo"
"2019",0.21,"SPI ON","SPI 2","Chibuto","07","Severo"
"2020",0.04,"SPI ON","SPI 2","Chibuto","07","Severo"
"2021",0.08,"SPI ON","SPI 2","Chibuto","07","Severo"
"1993",0.07,"SPI ON","SPI 2","Guija","07","Severo"
"1994",0.28,"SPI ON","SPI 2","Guija","07","Severo"
"1995",0.14,"SPI ON","SPI 2","Guija","07","Severo"
"1996",0.02,"SPI ON","SPI 2","Guija","07","Severo"
"1997",0.04,"SPI ON","SPI 2","Guija","07","Severo"
"1998",0.16,"SPI ON","SPI 2","Guija","07","Severo"
"1999",0.21,"SPI ON","SPI 2","Guija","07","Severo"
"2000",0.16,"SPI ON","SPI 2","Guija","07","Severo"
"2001",0.2,"SPI ON","SPI 2","Guija","07","Severo"
"2002",0.3,"SPI ON","SPI 2","Guija","07","Severo"
"2003",0.19,"SPI ON","SPI 2","Guija","07","Severo"
"2004",0.2,"SPI ON","SPI 2","Guija","07","Severo"
"2005",0.05,"SPI ON","SPI 2","Guija","07","Severo"
"2006",0.18,"SPI ON","SPI 2","Guija","07","Severo"
"2007",0.06,"SPI ON","SPI 2","Guija","07","Severo"
"2008",0.12,"SPI ON","SPI 2","Guija","07","Severo"
"2009",0.15,"SPI ON","SPI 2","Guija","07","Severo"
"2010",0.12,"SPI ON","SPI 2","Guija","07","Severo"
"2011",0.08,"SPI ON","SPI 2","Guija","07","Severo"
"2012",0.14,"SPI ON","SPI 2","Guija","07","Severo"
"2013",0.08,"SPI ON","SPI 2","Guija","07","Severo"
"2014",0.18,"SPI ON","SPI 2","Guija","07","Severo"
"2015",0.3,"SPI ON","SPI 2","Guija","07","Severo"
"2016",0.18,"SPI ON","SPI 2","Guija","07","Severo"
"2017",0.17,"SPI ON","SPI 2","Guija","07","Severo"
"2018",0.21,"SPI ON","SPI 2","Guija","07","Severo"
"2019",0.22,"SPI ON","SPI 2","Guija","07","Severo"
"2020",0.04,"SPI ON","SPI 2","Guija","07","Severo"
"2021",0.12,"SPI ON","SPI 2","Guija","07","Severo"
"1993",0.12,"SPI ON","SPI 2","Changara","07","Severo"
"1994",0.08,"SPI ON","SPI 2","Changara","07","Severo"
"1995",0.12,"SPI ON","SPI 2","Changara","07","Severo"
"1996",0.04,"SPI ON","SPI 2","Changara","07","Severo"
"1997",0.16,"SPI ON","SPI 2","Changara","07","Severo"
"1998",0.37,"SPI ON","SPI 2","Changara","07","Severo"
"1999",0.27,"SPI ON","SPI 2","Changara","07","Severo"
"2000",0.12,"SPI ON","SPI 2","Changara","07","Severo"
"2001",0.29,"SPI ON","SPI 2","Changara","07","Severo"
"2002",0.12,"SPI ON","SPI 2","Changara","07","Severo"
"2003",0.14,"SPI ON","SPI 2","Changara","07","Severo"
"2004",0.13,"SPI ON","SPI 2","Changara","07","Severo"
"2005",0.23,"SPI ON","SPI 2","Changara","07","Severo"
"2006",0.25,"SPI ON","SPI 2","Changara","07","Severo"
"2007",0.22,"SPI ON","SPI 2","Changara","07","Severo"
"2008",0.08,"SPI ON","SPI 2","Changara","07","Severo"
"2009",0.16,"SPI ON","SPI 2","Changara","07","Severo"
"2010",0.15,"SPI ON","SPI 2","Changara","07","Severo"
"2011",0.07,"SPI ON","SPI 2","Changara","07","Severo"
"2012",0.29,"SPI ON","SPI 2","Changara","07","Severo"
"2013",0.17,"SPI ON","SPI 2","Changara","07","Severo"
"2014",0.23,"SPI ON","SPI 2","Changara","07","Severo"
"2015",0.13,"SPI ON","SPI 2","Changara","07","Severo"
"2016",0.36,"SPI ON","SPI 2","Changara","07","Severo"
"2017",0.07,"SPI ON","SPI 2","Changara","07","Severo"
"2018",0.18,"SPI ON","SPI 2","Changara","07","Severo"
"2019",0.08,"SPI ON","SPI 2","Changara","07","Severo"
"2020",0.08,"SPI ON","SPI 2","Changara","07","Severo"
"2021",0.16,"SPI ON","SPI 2","Changara","07","Severo"
"1993",0.09,"SPI ON","SPI 2","Marara","07","Severo"
"1994",0.12,"SPI ON","SPI 2","Marara","07","Severo"
"1995",0.16,"SPI ON","SPI 2","Marara","07","Severo"
"1996",0.08,"SPI ON","SPI 2","Marara","07","Severo"
"1997",0.2,"SPI ON","SPI 2","Marara","07","Severo"
"1998",0.36,"SPI ON","SPI 2","Marara","07","Severo"
"1999",0.27,"SPI ON","SPI 2","Marara","07","Severo"
"2000",0.12,"SPI ON","SPI 2","Marara","07","Severo"
"2001",0.27,"SPI ON","SPI 2","Marara","07","Severo"
"2002",0.12,"SPI ON","SPI 2","Marara","07","Severo"
"2003",0.12,"SPI ON","SPI 2","Marara","07","Severo"
"2004",0.09,"SPI ON","SPI 2","Marara","07","Severo"
"2005",0.23,"SPI ON","SPI 2","Marara","07","Severo"
"2006",0.24,"SPI ON","SPI 2","Marara","07","Severo"
"2007",0.17,"SPI ON","SPI 2","Marara","07","Severo"
"2008",0.08,"SPI ON","SPI 2","Marara","07","Severo"
"2009",0.16,"SPI ON","SPI 2","Marara","07","Severo"
"2010",0.24,"SPI ON","SPI 2","Marara","07","Severo"
"2011",0.04,"SPI ON","SPI 2","Marara","07","Severo"
"2012",0.28,"SPI ON","SPI 2","Marara","07","Severo"
"2013",0.13,"SPI ON","SPI 2","Marara","07","Severo"
"2014",0.28,"SPI ON","SPI 2","Marara","07","Severo"
"2015",0.16,"SPI ON","SPI 2","Marara","07","Severo"
"2016",0.36,"SPI ON","SPI 2","Marara","07","Severo"
"2017",0.09,"SPI ON","SPI 2","Marara","07","Severo"
"2018",0.21,"SPI ON","SPI 2","Marara","07","Severo"
"2019",0.07,"SPI ON","SPI 2","Marara","07","Severo"
"2020",0.08,"SPI ON","SPI 2","Marara","07","Severo"
"2021",0.2,"SPI ON","SPI 2","Marara","07","Severo"
"1993",0.21,"SPI OND","SPI 3","Chibuto","07","Severo"
"1994",0.16,"SPI OND","SPI 3","Chibuto","07","Severo"
"1995",0.16,"SPI OND","SPI 3","Chibuto","07","Severo"
"1996",0.19,"SPI OND","SPI 3","Chibuto","07","Severo"
"1997",0.11,"SPI OND","SPI 3","Chibuto","07","Severo"
"1998",0.16,"SPI OND","SPI 3","Chibuto","07","Severo"
"1999",0.09,"SPI OND","SPI 3","Chibuto","07","Severo"
"2000",0.08,"SPI OND","SPI 3","Chibuto","07","Severo"
"2001",0.18,"SPI OND","SPI 3","Chibuto","07","Severo"
"2002",0.19,"SPI OND","SPI 3","Chibuto","07","Severo"
"2003",0.12,"SPI OND","SPI 3","Chibuto","07","Severo"
"2004",0.08,"SPI OND","SPI 3","Chibuto","07","Severo"
"2005",0.01,"SPI OND","SPI 3","Chibuto","07","Severo"
"2006",0.09,"SPI OND","SPI 3","Chibuto","07","Severo"
"2007",0.14,"SPI OND","SPI 3","Chibuto","07","Severo"
"2008",0.21,"SPI OND","SPI 3","Chibuto","07","Severo"
"2009",0.22,"SPI OND","SPI 3","Chibuto","07","Severo"
"2010",0.09,"SPI OND","SPI 3","Chibuto","07","Severo"
"2011",0.06,"SPI OND","SPI 3","Chibuto","07","Severo"
"2012",0.3,"SPI OND","SPI 3","Chibuto","07","Severo"
"2013",0.05,"SPI OND","SPI 3","Chibuto","07","Severo"
"2014",0.13,"SPI OND","SPI 3","Chibuto","07","Severo"
"2015",0.31,"SPI OND","SPI 3","Chibuto","07","Severo"
"2016",0.26,"SPI OND","SPI 3","Chibuto","07","Severo"
"2017",0.2,"SPI OND","SPI 3","Chibuto","07","Severo"
"2018",0.21,"SPI OND","SPI 3","Chibuto","07","Severo"
"2019",0.33,"SPI OND","SPI 3","Chibuto","07","Severo"
