"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2020",0.08,"SPI ON","SPI 2","Guija","10","Moderado"
"1993",0.13,"SPI ON","SPI 2","Changara","10","Moderado"
"1994",0.03,"SPI ON","SPI 2","Changara","10","Moderado"
"1995",0.15,"SPI ON","SPI 2","Changara","10","Moderado"
"1996",0.28,"SPI ON","SPI 2","Changara","10","Moderado"
"1997",0.14,"SPI ON","SPI 2","Changara","10","Moderado"
"1998",0.56,"SPI ON","SPI 2","Changara","10","Moderado"
"1999",0.32,"SPI ON","SPI 2","Changara","10","Moderado"
"2000",0.14,"SPI ON","SPI 2","Changara","10","Moderado"
"2001",0.28,"SPI ON","SPI 2","Changara","10","Moderado"
"2002",0.08,"SPI ON","SPI 2","Changara","10","Moderado"
"2003",0.08,"SPI ON","SPI 2","Changara","10","Moderado"
"2004",0.2,"SPI ON","SPI 2","Changara","10","Moderado"
"2005",0.22,"SPI ON","SPI 2","Changara","10","Moderado"
"2006",0.24,"SPI ON","SPI 2","Changara","10","Moderado"
"2007",0.15,"SPI ON","SPI 2","Changara","10","Moderado"
"2008",0.09,"SPI ON","SPI 2","Changara","10","Moderado"
"2009",0.28,"SPI ON","SPI 2","Changara","10","Moderado"
"2010",0.12,"SPI ON","SPI 2","Changara","10","Moderado"
"2011",0.08,"SPI ON","SPI 2","Changara","10","Moderado"
"2012",0.24,"SPI ON","SPI 2","Changara","10","Moderado"
"2013",0.05,"SPI ON","SPI 2","Changara","10","Moderado"
"2014",0.06,"SPI ON","SPI 2","Changara","10","Moderado"
"2015",0.45,"SPI ON","SPI 2","Changara","10","Moderado"
"2016",0.28,"SPI ON","SPI 2","Changara","10","Moderado"
"2017",0.2,"SPI ON","SPI 2","Changara","10","Moderado"
"2018",0.15,"SPI ON","SPI 2","Changara","10","Moderado"
"2019",0,"SPI ON","SPI 2","Changara","10","Moderado"
"2020",0.12,"SPI ON","SPI 2","Changara","10","Moderado"
"1993",0.15,"SPI ON","SPI 2","Marara","10","Moderado"
"1994",0.04,"SPI ON","SPI 2","Marara","10","Moderado"
"1995",0.17,"SPI ON","SPI 2","Marara","10","Moderado"
"1996",0.28,"SPI ON","SPI 2","Marara","10","Moderado"
"1997",0.12,"SPI ON","SPI 2","Marara","10","Moderado"
"1998",0.59,"SPI ON","SPI 2","Marara","10","Moderado"
"1999",0.37,"SPI ON","SPI 2","Marara","10","Moderado"
"2000",0.09,"SPI ON","SPI 2","Marara","10","Moderado"
"2001",0.25,"SPI ON","SPI 2","Marara","10","Moderado"
"2002",0.04,"SPI ON","SPI 2","Marara","10","Moderado"
"2003",0.07,"SPI ON","SPI 2","Marara","10","Moderado"
"2004",0.2,"SPI ON","SPI 2","Marara","10","Moderado"
